2yfi	burkholderia_xenovorans	P37333	P37334
3j0j	thermus_thermophilus	P74902	Q5SIT5
4h0m	synechococcus_elongatus	P06539	P13530
3ogi	mycobacterium_tuberculosis	P9WNI5	P9WNI7
1l0o	geobacillus_stearothermophilus	O32727	O32728
3gty	thermotoga_maritima	P38526	Q9WZF8
1u0s	thermotoga_maritima	Q56310	Q56312
3h6p	mycobacterium_tuberculosis	P9WNI9	Q6MX18
4lk1	escherichia_coli	C9QXI7	P00579
4lk1	escherichia_coli	C9QV90	C9QXI7
4lk1	escherichia_coli	C9QV90	P00579
4lk1	escherichia_coli	C5A0S8	C9QXI7
4lk1	escherichia_coli	C5A0S8	C9QV90
4lk1	escherichia_coli	C5A0S8	C9QUL2
4lk1	escherichia_coli	C5A0S8	P00579
4lk1	escherichia_coli	C9QUL2	C9QXI7
4lk1	escherichia_coli	C9QUL2	C9QV90
4lk1	escherichia_coli	C9QUL2	P00579
3a0r	thermotoga_maritima	Q9X180	Q9X181
4gam	methylococcus_capsulatus	P11987	P18797
4gam	methylococcus_capsulatus	P18797	P22869
4gam	methylococcus_capsulatus	P18797	P18798
1ttw	yersinia_pestis	28373010	Q7BTX0
1efp	paracoccus_denitrificans	P38974	P38975
1tyg	bacillus_subtilis	O31617	O31618
3ulq	bacillus_subtilis	P14204	P71002
1i1q	salmonella_typhimurium	P00898	P00905
3ci0	escherichia_coli	Q8VPC2	Q8VPC3
3ci0	escherichia_coli	Q8VLK7	Q8VPC3
3ci0	escherichia_coli	Q8VLK7	Q8VPC2
4q2u	escherichia_coli	Q47149	Q47150
2f9z	thermotoga_maritima	Q9X005	Q9X006
3myr	allochromatium_vinosum	D3RV26	D3RV29
2d0p	klebsiella_oxytoca	3115376	3115377
2f2f	aggregatibacter_actinomycetemcomitans	O87120	Q7DK12
2f2f	aggregatibacter_actinomycetemcomitans	O87120	Q7DK11
2f2f	aggregatibacter_actinomycetemcomitans	Q7DK11	Q7DK12
3u43	escherichia_coli	P04419	P04482
1ka9	thermus_thermophilus	Q7SIB9	Q7SIC0
1yew	methylococcus_capsulatus	G1UBD1	O05111
1yew	methylococcus_capsulatus	O05111	Q607G3
3ul4	clostridium_thermocellum	L7MTK2	Q06848
2ozn	clostridium_perfringens	P26831	Q0TR53
1mio	clostridium_pasteurianum	P00467	P11347
3jwn	escherichia_coli	P31697	Q0T8Y8
3jwn	escherichia_coli	P08189	P08190
3jwn	escherichia_coli	P08189	Q0T8Y8
3jwn	escherichia_coli	P08190	P31697
3jwn	escherichia_coli	P08190	Q0T8Y8
2q0o	rhizobium_sp.	P55407	P55408
2z2s	rhodobacter_sphaeroides	P40685	Q3IYV6
4fzw	escherichia_coli	P76082	P77467
3aoe	thermus_thermophilus	Q72IC0	Q72IC1
3kxy	pseudomonas_aeruginosa	P26995	Q9I322
2bsq	neisseria_gonorrhoeae	Q5F881	Q5F882
1tii	escherichia_coli	P43528	P43529
2vjr	gloeobacter_violaceus	Q7M7C7	Q7M7F7
3tcj	aliivibrio_fischeri	P62553	Q84B82
4dfc	escherichia_coli	P0A698	P30958
3rfz	escherichia_coli	P08191	P30130
1cpc	fremyella_diplosiphon	P07119	P07122
3vu3	escherichia_coli	P0A6X3	P21179
1xrs	clostridium_sticklandii	E3PRJ4	E3PRJ5
2fm8	salmonella_typhimurium	P0A1N0	P0CL52
2v5h	synechococcus_elongatus	P0A3F4	Q6V1L5
3h1c	escherichia_coli	P05055	P21513
1jju	paracoccus_denitrificans	Q8VUS7	Q8VUT0
1jju	paracoccus_denitrificans	Q8VUS7	Q8VUS8
1jju	paracoccus_denitrificans	Q8VUS8	Q8VUT0
1o9a	homo_sapiens	P02751	Q53971
2v3b	pseudomonas_aeruginosa	Q9HTK8	Q9HTK9
2dfx	escherichia_coli	P13476	P18000
3pnt	streptococcus_pyogenes	D7S065	Q2VJ58
4hh3	rhodobacter_sphaeroides	Q3J179	Q53119
2rdd	escherichia_coli	P0ADZ7	P31224
2ret	vibrio_vulnificus	Q7MPZ0	Q7MPZ1
3vep	mycobacterium_tuberculosis	P9WGG8	P9WJ71
1dm0	shigella_dysenteriae	Q7BQ98	Q9FBI2
2p80	alcaligenes_faecalis	P04377	P38501
4mn4	escherichia_coli	P0AFI2	P22523
1lrw	paracoccus_denitrificans	P12293	P29898
3sgb	streptomyces_griseus	P00777	P68390
3wdg	staphylococcus_aureus	Q6GJ88	Q936H5
3soh	thermotoga_maritima	Q9WY63	Q9WZE6
2o97	escherichia_coli	P0ACF0	P0ACF4
2bh1	vibrio_cholerae	P37093	P45782
2ipa	bacillus_subtilis	P14949	P45947
3hht	geobacillus_pallidus	Q84FS5	Q84FS6
1f6m	escherichia_coli	P0A9P4	P0AA25
3qgk	helicobacter_mustelae	D3UJ80	D3UJ81
2f9i	staphylococcus_aureus	49242071	49244968
1usy	thermotoga_maritima	Q9X0D2	Q9X0D3
2g38	mycobacterium_tuberculosis	41353702	41353703
4bem	acetobacterium_woodii	H6LFT0	H6LFT2
2b59	clostridium_thermocellum	A3DF10	Q06851
1fs0	escherichia_coli	P0A6E6	P0ABA6
4hfk	enterobacter_cloacae	D5C6F6	D5C6F7
4ng2	pseudomonas_aeruginosa	P25084	Q9I494
3hrd	eubacterium_barkeri	Q0QLF2	Q0QLF4
3hrd	eubacterium_barkeri	Q0QLF2	Q0QLF3
3hrd	eubacterium_barkeri	Q0QLF1	Q0QLF2
3hrd	eubacterium_barkeri	Q0QLF1	Q0QLF4
3hrd	eubacterium_barkeri	Q0QLF1	Q0QLF3
3hrd	eubacterium_barkeri	Q0QLF3	Q0QLF4
2w07	escherichia_coli	Q1R2W9	Q1R2X3
2htm	thermus_thermophilus	Q5SKG7	Q72KL7
2wus	thermotoga_maritima	Q9WZ57	Q9X2H8
2ynm	prochlorococcus_marinus	Q7VD37	Q7VD39
2ynm	prochlorococcus_marinus	Q7VD37	Q7VD38
2ynm	prochlorococcus_marinus	Q7VD38	Q7VD39
3ny7	escherichia_coli	C6EHC0	C9QXZ0
1poi	acidaminococcus_fermentans	Q59111	Q59112
3gz2	shigella_flexneri	P0A2U4	P18011
1mda	paracoccus_denitrificans	A44544	P22364
1aip	thermus_thermophilus	P43895	P60338
3g5o	mycobacterium_tuberculosis	O33347	O33348
4j9u	vibrio_parahaemolyticus	Q87KD2	Q87TN7
2eq9	thermus_thermophilus	Q5SLR0	Q5SLR1
4dxe	staphylococcus_aureus	Q5HED0	Q5HGK0
3l4b	thermotoga_maritima	D3KFX7	D3KFX8
4keh	escherichia_coli	K0BL73	P0A6Q3
4kx6	escherichia_coli	C5A1E7	P00363
4kx6	escherichia_coli	C5A1E7	C9QU46
4kx6	escherichia_coli	C5A1E7	P0A8Q3
4kx6	escherichia_coli	C9QU46	P00363
4kx6	escherichia_coli	C9QU46	P0A8Q3
1c17	escherichia_coli	P0AB98	P68699
4j3o	escherichia_coli	P08189	P08191
4j3o	escherichia_coli	P08190	P30130
4j3o	escherichia_coli	P08190	P08191
3pnl	escherichia_coli	P76014	P76015
1bdj	escherichia_coli	P0AE67	P0AEC3
3bp8	escherichia_coli	P50456	P69786
4g1u	yersinia_pestis	Q56992	Q56993
1zrt	rhodobacter_capsulatus	P0CY47	P0CY49
1zrt	rhodobacter_capsulatus	P0CY47	P0CY48
1zrt	rhodobacter_capsulatus	P0CY48	P0CY49
1pto	bordetella_pertussis	P04978	X16347
1pto	bordetella_pertussis	P04979	X16347
1pto	bordetella_pertussis	P0A3R5	X16347
1pto	bordetella_pertussis	P04981	X16347
2o3b	nostoc_sp.	P38446	Q7A260
3pco	escherichia_coli	C9QTZ3	P07395
4i98	streptococcus_pneumoniae	C1CMI5	C1CMI6
2be7	moritella_profunda	D0VWV8	D0VWV9
3rrl	helicobacter_pylori	P56006	P56007
2zon	achromobacter_xylosoxidans	D0VWQ8	O68601
3or1	desulfovibrio_gigas	E2QR97	E2QR98
3or1	desulfovibrio_gigas	E2QR96	E2QR97
3or1	desulfovibrio_gigas	E2QR96	E2QR98
1ijd	rhodoblastus_acidophilus	P35089	P35094
3mzw	homo_sapiens	P04626	P38507
2aar	deinococcus_radiodurans	Q9RT21	Q9RXK0
2aar	deinococcus_radiodurans	Q9RT21	Q9RXJ4
2aar	deinococcus_radiodurans	Q9RXJ4	Q9RXK0
4kt3	pseudomonas_protegens	Q4KC90	Q4KC91
1zo1	escherichia_coli	P0A705	P69222
2kg7	mycobacterium_tuberculosis	O53692	P9WNK2
1jro	rhodobacter_capsulatus	13397863	2956674
4hi0	helicobacter_pylori	Q09065	Q09066
4hi0	helicobacter_pylori	Q09066	Q09067
1ogy	rhodobacter_sphaeroides	Q53176	Q53177
3our	vibrio_vulnificus	Q8DF91	Q8DFJ9
1xs9	escherichia_coli	P0A7Z4	P0ACH5
2vjt	gloeobacter_violaceus	Q7NL79	Q7NL80
2xt9	mycobacterium_smegmatis	A0R2B1	Q9RP36
3eql	thermus_thermophilus	Q5SKW1	Q9Z9H6
4lrz	escherichia_coli	P76014	P76016
2a6q	escherichia_coli	P69346	P69348
3gzx	comamonas_testosteroni	Q46372	Q46373
3gfu	escherichia_coli	P25401	Q6T3W5
2eq8	thermus_thermophilus	Q5SLR0	Q5SLV9
4f0u	synechococcus_elongatus	Q31RG0	Q31RG1
1pdk	escherichia_coli	P15319	P62532
1zhh	vibrio_harveyi	P54300	P54302
3euj	haemophilus_ducreyi	Q7VL94	Q7VL96
1lt4	escherichia_coli	P32890	Q2HQJ7
3or2	desulfovibrio_gigas	E2QR97	E2QR99
3or2	desulfovibrio_gigas	E2QR96	E2QR99
4emj	pseudomonas_putida	A5W4E9	A5W4F0
4fl4	clostridium_thermocellum	A3DDN1	P71143
4fl4	clostridium_thermocellum	A3DDN1	Q46453
4fl4	clostridium_thermocellum	P71143	Q46453
4ani	geobacillus_kaustophilus	Q5KWZ6	Q5KWZ7
1zud	escherichia_coli	O32583	P30138
1fcd	allochromatium_vinosum	Q06529	Q06530
2y7h	escherichia_coli	P05719	P08957
4b0m	yersinia_pestis	P26948	P26949
4b0m	yersinia_pestis	P26926	P26949
4bmo	bacillus_cereus	B0YPL1	Q81G55
4kt6	streptococcus_pyogenes	Q7CFI6	Q8K8S5
2om7	thermus_thermophilus	P17293	Q5SLP7
2om7	thermus_thermophilus	P17293	Q5SHN5
2om7	thermus_thermophilus	P17293	P80371
2om7	thermus_thermophilus	Q5SHN5	Q5SLP7
2om7	thermus_thermophilus	P80371	Q5SLP7
2om7	thermus_thermophilus	P80371	Q5SHN5
1b0n	bacillus_subtilis	P06533	P23308
1h0h	desulfovibrio_gigas	Q8GC87	Q934F5
1all	arthrospira_platensis	P72504	P72505
3b07	staphylococcus_aureus	P0A071	Q931F3
2wp0	helicobacter_pylori	O25828	O26057
3h87	mycobacterium_tuberculosis	O07227	P9WFB8
2a68	thermus_thermophilus	20160394	Q5SHR6
2a68	thermus_thermophilus	20160394	Q8RQE9
2a68	thermus_thermophilus	20160394	Q8RQE8
2a68	thermus_thermophilus	20160394	46198472
2a68	thermus_thermophilus	46198472	Q5SHR6
2a68	thermus_thermophilus	46198472	Q8RQE9
2a68	thermus_thermophilus	46198472	Q8RQE8
2wmp	escherichia_coli	Q1R2W9	Q47445
4hff	salmonella_typhimurium	Q8ZRL5	Q93IS4
1o2f	escherichia_coli	P69783	P69786
3dbj	thermosynechococcus_vulcanus	B3VNK2	B3VNK3
1jzd	escherichia_coli	P0AEG6	P36655
2xkv	escherichia_coli	O07347	P0AGD7
2xkv	escherichia_coli	P0AGD7	P83749
1zc8	thermus_thermophilus	O66640	P60338
2yjt	escherichia_coli	P0A8R0	P21507
3m1f	oryctolagus_cuniculus	P68135	Q87GE5
2d3o	deinococcus_radiodurans	Q9RT21	Q9RXJ1
2d3o	deinococcus_radiodurans	Q9RXJ1	Q9RXK0
2d3o	deinococcus_radiodurans	Q9RXJ1	Q9RXJ4
2uwj	pseudomonas_aeruginosa	P95434	Q9I317
2uwj	pseudomonas_aeruginosa	P95434	P95435
2uwj	pseudomonas_aeruginosa	P95435	Q9I317
2jxm	prochlorothrix_hollandica	P50057	Q8RN59
2pvg	synechocystis_sp.	P27320	Q55389
2pvg	synechocystis_sp.	P27320	Q55781
